Meter,Temp,Height
-9,NA,-10
-9,NA,-9
-9,NA,-8
-9,NA,-7
-9,NA,-6
-9,NA,-5
-9,NA,-4
-9,NA,-3
-9,NA,-2
-9,NA,-1
-9,NA,0
-8,1.8,-12
-8,1.81,-11
-8,1.82,-10
-8,1.83,-9
-8,1.84,-8
-8,1.85,-7
-8,1.85,-6
-8,1.83,-5
-8,1.8,-4
-8,1.79,-3
-8,1.76,-2
-8,1.74,-1
-8,1.7,0
-7,1.9,-14
-7,1.89,-13
-7,1.88,-12
-7,1.87,-11
-7,1.86,-10
-7,1.855,-9
-7,1.85,-8
-7,1.85,-7
-7,1.83,-6
-7,1.8,-5
-7,1.78,-4
-7,1.75,-3
-7,1.74,-2
-7,1.72,-1
-7,1.7,0
-6,1.95,-16
-6,1.94,-15
-6,1.92,-14
-6,1.9,-13
-6,1.9,-12
-6,1.86,-11
-6,1.84,-10
-6,1.85,-9
-6,1.85,-8
-6,1.85,-7
-6,1.84,-6
-6,1.845,-5
-6,1.84,-4
-6,1.83,-3
-6,1.84,-2
-6,1.82,-1
-6,1.8,0
-5,2.1,-15
-5,2.09,-14
-5,2.09,-13
-5,2.085,-12
-5,2.08,-11
-5,2.7,-10
-5,2.65,-9
-5,2.6,-8
-5,2.05,-7
-5,2.03,-6
-5,2.01,-5
-5,2,-4
-5,1.99,-3
-5,1.95,-2
-5,1.84,-1
-5,1.9,0
